Timestamp,DateTime,TEC1_Voltage(V),TEC2_Voltage(V),TEC3_Voltage(V),TEC4_Voltage(V),TEC5_Voltage(V),TEC6_Voltage(V),TEC7_Voltage(V),TEC8_Voltage(V)
1763713160.049409,2025-11-21 16:19:20,0.000000000,0.000125000,0.000015625,-0.000117187,0.000289062,-0.000351562,-0.000023438,0.000007813
1763713170.1271937,2025-11-21 16:19:30,0.000000000,0.000000000,0.000023438,-0.000109375,0.000359375,-0.000437500,-0.000023438,0.000000000
1763713180.205416,2025-11-21 16:19:40,0.000125000,0.000125000,0.000023438,-0.000171875,0.000351562,-0.000398438,-0.000039063,0.000000000
1763713190.281188,2025-11-21 16:19:50,0.000000000,0.000000000,0.000015625,-0.000125000,0.000367188,-0.000367188,-0.000023438,0.000000000
1763713200.3589988,2025-11-21 16:20:00,0.000000000,0.000000000,0.000031250,-0.000125000,0.000460938,-0.000492188,0.000015625,0.000000000
1763713210.436524,2025-11-21 16:20:10,0.000000000,0.000125000,0.000015625,-0.000093750,0.000320313,-0.000468750,0.000007813,0.000000000
1763713220.5148757,2025-11-21 16:20:20,0.000125000,0.000000000,0.000023438,-0.000148437,0.000359375,-0.000390625,0.000007813,0.000007813
1763713230.5861776,2025-11-21 16:20:30,0.000000000,0.000125000,0.000039063,-0.000093750,0.000367188,-0.000421875,0.000000000,0.000000000
1763713240.6645224,2025-11-21 16:20:40,-0.004875000,0.000000000,0.000023438,-0.000093750,0.000406250,-0.000429688,0.000007813,0.000000000
1763713250.7419221,2025-11-21 16:20:50,0.000125000,0.000000000,0.000015625,-0.000101563,0.000343750,-0.000375000,-0.000054688,0.000007813
1763713260.820099,2025-11-21 16:21:00,0.000125000,0.000000000,0.000023438,-0.000109375,0.000328125,-0.000460938,-0.000039063,0.000000000
1763713270.898346,2025-11-21 16:21:10,0.000125000,0.000000000,0.000023438,-0.000132813,0.000296875,-0.000328125,-0.000023438,0.000007813
1763713280.9765468,2025-11-21 16:21:20,0.000000000,0.000000000,0.000000000,-0.000140625,0.000250000,-0.000335938,-0.000007813,0.000000000
1763713291.0564055,2025-11-21 16:21:31,0.000000000,0.000000000,0.000007813,-0.000140625,0.000250000,-0.000382813,-0.000007813,0.000007813
1763713301.1351783,2025-11-21 16:21:41,0.000000000,0.000000000,0.000007813,-0.000125000,0.000375000,-0.000484375,0.000015625,0.000000000
1763713311.2211292,2025-11-21 16:21:51,0.000000000,0.000000000,0.000000000,-0.000125000,0.000304687,-0.000414062,-0.000007813,0.000000000
1763713321.3132446,2025-11-21 16:22:01,0.000000000,0.000000000,0.000007813,-0.000101563,0.000281250,-0.000359375,0.000015625,0.000000000
1763713331.4085457,2025-11-21 16:22:11,0.000000000,0.000000000,0.000031250,-0.000148437,0.000296875,-0.000437500,-0.000046875,0.000007813
1763713341.4781287,2025-11-21 16:22:21,0.000000000,0.000000000,0.000000000,-0.000156250,0.000335938,-0.000335938,0.000000000,0.000007813
1763713351.5526025,2025-11-21 16:22:31,0.000000000,0.000000000,0.000000000,-0.000140625,0.000320313,-0.000375000,-0.000015625,0.000007813
1763713361.6294727,2025-11-21 16:22:41,0.000125000,0.000000000,0.000023438,-0.000164063,0.000312500,-0.000359375,0.000023438,0.000000000
1763713371.7115753,2025-11-21 16:22:51,0.000000000,0.000000000,0.000007813,-0.000140625,0.000429688,-0.000398438,-0.000218750,0.000007813
1763713381.7894847,2025-11-21 16:23:01,0.000000000,0.000000000,0.000039063,-0.000164063,0.000281250,-0.000312500,0.000007813,0.000007813
1763713391.8664556,2025-11-21 16:23:11,0.000000000,0.000000000,0.000000000,-0.000148437,0.000335938,-0.000359375,0.000023438,0.000000000
1763713401.9472919,2025-11-21 16:23:21,0.000125000,0.000000000,0.000007813,-0.000179687,0.000390625,-0.000375000,0.000007813,0.000000000
1763713412.0339208,2025-11-21 16:23:32,0.000000000,0.000000000,-0.000007813,-0.000125000,0.000406250,-0.000460938,0.000015625,0.000000000
